time,delay,data_value,
218,2021-07-07 13:19:46.113622,711,
219,2021-07-07 13:19:46.121325,7703,
218,2021-07-07 13:19:46.163578,42253,
205,2021-07-07 13:19:46.163993,415,
205,2021-07-07 13:19:46.164699,706,
205,2021-07-07 13:19:46.213801,49102,
36,2021-07-07 13:19:46.214749,948,
36,2021-07-07 13:19:46.215535,786,
36,2021-07-07 13:19:46.264242,48707,
177,2021-07-07 13:19:46.265512,1270,
175,2021-07-07 13:19:46.266815,1303,
174,2021-07-07 13:19:46.314370,47555,
45,2021-07-07 13:19:46.315661,1291,
44,2021-07-07 13:19:46.316858,1197,
45,2021-07-07 13:19:46.364200,47342,
231,2021-07-07 13:19:46.365588,1388,
231,2021-07-07 13:19:46.366810,1222,
232,2021-07-07 13:19:46.414324,47514,
19,2021-07-07 13:19:46.415681,1357,
19,2021-07-07 13:19:46.417026,1345,
19,2021-07-07 13:19:46.464222,47196,
29,2021-07-07 13:19:46.465498,1276,
28,2021-07-07 13:19:46.466738,1240,
28,2021-07-07 13:19:46.514390,47652,
239,2021-07-07 13:19:46.515635,1245,
240,2021-07-07 13:19:46.517051,1416,
240,2021-07-07 13:19:46.564098,47047,
30,2021-07-07 13:19:46.565447,1349,
30,2021-07-07 13:19:46.571781,6334,
29,2021-07-07 13:19:46.614301,42520,
223,2021-07-07 13:19:46.615649,1348,
223,2021-07-07 13:19:46.616946,1297,
223,2021-07-07 13:19:46.664254,47308,
247,2021-07-07 13:19:46.665609,1355,
247,2021-07-07 13:19:46.666808,1199,
246,2021-07-07 13:19:46.713168,46360,
237,2021-07-07 13:19:46.713623,455,
236,2021-07-07 13:19:46.713996,373,
236,2021-07-07 13:19:46.762752,48756,
18,2021-07-07 13:19:46.763174,422,
18,2021-07-07 13:19:46.763709,535,
19,2021-07-07 13:19:46.814635,50926,
255,2021-07-07 13:19:46.816433,1798,
0,2021-07-07 13:19:46.818569,2136,
1,2021-07-07 13:19:46.864468,45899,
30,2021-07-07 13:19:46.865633,1165,
29,2021-07-07 13:19:46.867018,1385,
27,2021-07-07 13:19:46.914357,47339,
32,2021-07-07 13:19:46.915817,1460,
34,2021-07-07 13:19:46.922063,6246,
35,2021-07-07 13:19:46.964215,42152,
18,2021-07-07 13:19:46.965529,1314,
17,2021-07-07 13:19:46.966737,1208,
17,2021-07-07 13:19:47.014361,47624,
23,2021-07-07 13:19:47.015574,1213,
23,2021-07-07 13:19:47.016980,1406,
23,2021-07-07 13:19:47.064171,47191,
212,2021-07-07 13:19:47.065571,1400,
214,2021-07-07 13:19:47.066955,1384,
214,2021-07-07 13:19:47.114755,47800,
8,2021-07-07 13:19:47.115633,878,
8,2021-07-07 13:19:47.117063,1430,
9,2021-07-07 13:19:47.164159,47096,
176,2021-07-07 13:19:47.165480,1321,
175,2021-07-07 13:19:47.166808,1328,
174,2021-07-07 13:19:47.214358,47550,
25,2021-07-07 13:19:47.215737,1379,
27,2021-07-07 13:19:47.221864,6127,
27,2021-07-07 13:19:47.264079,42215,
5,2021-07-07 13:19:47.265432,1353,
6,2021-07-07 13:19:47.266739,1307,
7,2021-07-07 13:19:47.314219,47480,
226,2021-07-07 13:19:47.315536,1317,
225,2021-07-07 13:19:47.316890,1354,
223,2021-07-07 13:19:47.364185,47295,
93,2021-07-07 13:19:47.365527,1342,
93,2021-07-07 13:19:47.366867,1340,
93,2021-07-07 13:19:47.414383,47516,
211,2021-07-07 13:19:47.415608,1225,
211,2021-07-07 13:19:47.416731,1123,
210,2021-07-07 13:19:47.464147,47416,
248,2021-07-07 13:19:47.465498,1351,
247,2021-07-07 13:19:47.466859,1361,
247,2021-07-07 13:19:47.514351,47492,
19,2021-07-07 13:19:47.515694,1343,
20,2021-07-07 13:19:47.517005,1311,
17,2021-07-07 13:19:47.564208,47203,
200,2021-07-07 13:19:47.565450,1242,
